,Regulator,Target,Perturbation,Effect,Stage,Tissue.Reg,Tissue.Target,Additional Perturbation,Year,Reference
BMP BMP4 EPI MES positive target,Bmp4,Bmp4,+,+,E11,Epi,Mes,,1999,"Wang YH, Rutherford B, Upholt WB, Mina M. Developmental dynamics 1999 vol. 216 (4-5) pp. 320-35"
BMP BMP4 EPI MES positive target,Bmp7 AND Fgf4,Msx1,+,+,E11,Epi,Mes,,1999,"Wang YH, Rutherford B, Upholt WB, Mina M. Developmental dynamics 1999 vol. 216 (4-5) pp. 320-35"
BMP BMP4 EPI MES positive target,Bmp4 AND Fgf4,Msx1,+,+,E11,Epi,Mes,,1999,"Wang YH, Rutherford B, Upholt WB, Mina M. Developmental dynamics 1999 vol. 216 (4-5) pp. 320-35"
BMP BMP4 EPI MES NOT TARGET,Bmp4 AND Fgf4,Msx2,+,o,E11,Epi,Mes,,1999,"Wang YH, Rutherford B, Upholt WB, Mina M. Developmental dynamics 1999 vol. 216 (4-5) pp. 320-35"
BMP BMP4 EPI MES NOT TARGET,Bmp7 AND Fgf4,Msx2,+,o,E11,Epi,Mes,,1999,"Wang YH, Rutherford B, Upholt WB, Mina M. Developmental dynamics 1999 vol. 216 (4-5) pp. 320-35"
BMP MES MES positive target,Bmpr1a,Bmp4,-,-,E13,Mes,Mes,,2011,"Li L, Lin M, Wang Y, Cserjesi P, Chen Z, Chen Y. BmprIa is required in mesenchymal tissue and has limited redundant function with BmprIb in tooth and palate development.  Dev Biol. 2011 Jan 15;349(2):451-61"
BMP MES MES positive target,Bmpr1a,Msx1,-,-,E13,Mes,Mes,,2011,"Li L, Lin M, Wang Y, Cserjesi P, Chen Z, Chen Y. BmprIa is required in mesenchymal tissue and has limited redundant function with BmprIb in tooth and palate development.  Dev Biol. 2011 Jan 15;349(2):451-61"
BMP MES MES positive target,Bmpr1a,Pax9,-,-,E13,Mes,Mes,,2011,"Li L, Lin M, Wang Y, Cserjesi P, Chen Z, Chen Y. BmprIa is required in mesenchymal tissue and has limited redundant function with BmprIb in tooth and palate development.  Dev Biol. 2011 Jan 15;349(2):451-61"
BMP EPI EPI positive target,Bmpr1a,Wnt6,-,-,E14,Epi,Epi,,2011,This study
BMP EPI EPI positive target,Bmpr1a,Wnt3a,-,-,E14,Epi,Epi,,2011,This study
BMP EPI EPI positive target,Bmpr1a,Wnt10a,-,-,E14,Epi,Epi,,2011,This study
BMP EPI EPI negative target,Bmpr1a,Wnt3a,-,+,E14,Epi,Epi,,2011,This study
BMP EPI EPI positive target,Bmpr1a,Wnt4,-,-,E14,Epi,Epi,,2011,This study
BMP EPI EPI positive target,Bmpr1a,Wnt7b,-,-,E14,Epi,Epi,,2011,This study
BMP EPI EPI negative target,Bmpr1a,Wnt10b,-,+,E14,Epi,Epi,,2011,This study
BMP EPI EPI positive target,Bmpr1a,Wnt6,-,-,E14,Epi,Epi,,2011,This study
BMP EPI EPI positive target,Bmpr1a,Fgf4,-,-,E14,Epi,Epi,,2011,This study
BMP EPI EPI positive target,Bmpr1a,Fgf8,-,-,E14,Epi,Epi,,2011,This study
BMP BMP4 EPI EPI negative target,Bmp4,Shh,+,-,E14,Epi,Epi,,2000,"Zhao X, Zhang Z, Song Y, Zhang X, Zhang Y, Hu Y, Fromm SH, Chen Y. Transgenically ectopic expression of Bmp4 to the Msx1 mutant dental mesenchyme restores downstream gene expression but represses Shh and Bmp2 in the enamel knot of wild type tooth germ. Mechanisms of development 2000 vol. 99 (1-2) pp. 29-38"
BMP BMP4 EPI EPI NOT TARGET,Bmp4,Shh,+,o,E13,Epi,Epi,,1998,"Jernvall J, Aberg T, Kettunen P, Keränen S, Thesleff I. The life history of an embryonic signaling center: BMP-4 induces p21 and is associated with apoptosis in the mouse tooth enamel knot. Development 1998 vol. 125 (2) pp. 161-9"
BMP EPI EPI negative target,Nog AND Chrd,Fgf8,-,-,E10,Epi,Epi,,1997,"Neubüser A, Peters H, Balling R, Martin GR. Antagonistic interactions between FGF and BMP signaling pathways: a mechanism for positioning the sites of tooth formation. Cell 1997 vol. 90 (2) pp. 247-55"
BMP EPI EPI positive target,Nog,Shh,+,-,E11,Epi,Epi,,2000,"Zhang Y, Zhang Z, Zhao X, Yu X, Hu Y, Geronimo B, Fromm SH, Chen YP. A new function of BMP4: dual role for BMP4 in regulation of Sonic hedgehog expression in the mouse tooth germ. Development 2000 vol. 127 (7) pp. 1431-43"
BMP EPI EPI positive target,Nog,Bmp2,+,-,E11,Epi,Epi,,2000,"Zhang Y, Zhang Z, Zhao X, Yu X, Hu Y, Geronimo B, Fromm SH, Chen YP. A new function of BMP4: dual role for BMP4 in regulation of Sonic hedgehog expression in the mouse tooth germ. Development 2000 vol. 127 (7) pp. 1431-43"
BMP BMP4 EPI EPI negative target,Bmp4,Shh,+,-,E11,Epi,Epi,,2000,"Zhang Y, Zhang Z, Zhao X, Yu X, Hu Y, Geronimo B, Fromm SH, Chen YP. A new function of BMP4: dual role for BMP4 in regulation of Sonic hedgehog expression in the mouse tooth germ. Development 2000 vol. 127 (7) pp. 1431-43"
BMP BMP4 EPI EPI negative target,Bmp4,Bmp2,+,-,E11,Epi,Epi,,2000,"Zhang Y, Zhang Z, Zhao X, Yu X, Hu Y, Geronimo B, Fromm SH, Chen YP. A new function of BMP4: dual role for BMP4 in regulation of Sonic hedgehog expression in the mouse tooth germ. Development 2000 vol. 127 (7) pp. 1431-43"
BMP EPI EPI positive target,Bmpr1a,Shh,-,-,E14,Epi,Epi,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Map3k1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Fst,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Fzd1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Cd44,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Fzd7,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Acvr1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Mef2c,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Smad6,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Col1a1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Map2k1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Hand1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Snai1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Fgfr2,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Spry2,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Id1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Tle2,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Skil,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Frzb,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Hes1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Rras2,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Bmper,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Nog,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Isl1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Gata3,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Dlx3,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Frs2,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Msx2,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Smad1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Dkk1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Prrx2,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Msx1,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES positive target,Bmp4,Ednra,+,+,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Dusp6,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Cited1,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Notch1,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Tnik,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Nes,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Tgfb3,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Bmpr1b,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Sfrp2,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Krt14,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Fgf10,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Egfr,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Ntn3,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Twist1,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Igfbp3,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Nbl1,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Col1a2,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Osr2,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Tle1,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Lhx8,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Bmp4,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Etv5,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Rgma,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Il17rd,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Tnfrsf19,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Pdgfa,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Gdf1,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Timp3,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Gsc,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Ski,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Fzd2,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Barx1,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Egr1,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Sfrp1,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 MES MES negative target,Bmp4,Dlx1,+,-,E10,Mes,Mes,,2011,This study
BMP BMP4 EPI EPI positive target,Bmp4,Fzd5,+,+,E13,Epi,Epi,,2011,This study
BMP BMP4 EPI EPI positive target,Bmp4,Dlx2,+,+,E13,Epi,Epi,,2011,This study
BMP BMP4 EPI EPI positive target,Bmp4,Id1,+,+,E13,Epi,Epi,,2011,This study
BMP BMP4 EPI EPI positive target,Bmp4,Sp6,+,+,E13,Epi,Epi,,2011,This study
BMP BMP4 EPI EPI positive target,Bmp4,Sostdc1,+,+,E13,Epi,Epi,,2011,This study
BMP BMP4 EPI EPI positive target,Bmp4,Dlx3,+,+,E13,Epi,Epi,,2011,This study
BMP BMP4 EPI EPI positive target,Bmp4,Dlx1,+,+,E13,Epi,Epi,,2011,This study
BMP BMP4 EPI EPI positive target,Bmp4,Msx1,+,+,E13,Epi,Epi,,2011,This study
BMP BMP4 EPI EPI negative target,Bmp4,Inhbb,+,-,E13,Epi,Epi,,2011,This study
BMP BMP4 EPI EPI negative target,Bmp4,Egr1,+,-,E13,Epi,Epi,,2011,This study
